Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 309 1,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb 317 1,lb 317 2,lb 317 3,lb 317 4,lb 317 5,lb 317 6,empty,empty,empty,empty,empty,empty,lb 318 1,lb 318 2,lb 318 3,lb 318 4,lb 318 5,lb 318 6,empty,empty,empty,empty,empty,empty,lb 323 1,lb 323 2,lb 323 3,lb 323 4,lb 323 5,lb 323 6,empty,empty,empty,empty,empty,empty,lb 324 1,lb 324 2,lb 324 3,lb 324 4,lb 324 5,lb 324 6,empty,empty,empty,empty,empty,empty,lb 366 1,lb 366 2,lb 366 3,lb 366 4,lb 366 5,lb 366 6,empty,empty,empty,empty,empty,empty,lb 367 1,lb 367 2,lb 367 3,lb 367 4,lb 367 5,lb 367 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
5,580799,513705,551922,535205,538459,547219,212938,208674,196387,218787,200823,207239,518725,501322,486159,522822,502495,530555,153355,155019,157278,156321,148527,151286,1055880,1010220,954746,974269,962018,1015015,6852,6948,7152,7047,7166,6826,1158081,1044932,1099445,1041534,1019283,1002632,7356,7053,7073,7149,6924,6873,767561,707424,733916,717106,704012,724721,7093,7013,7076,6908,7018,6947,755876,720255,671868,711771,703037,691418,7048,7335,7079,7089,6970,6923,251537,150030,155068,193240,219802,244937,6868,7113,7179,6958,6835,6649,158221,185207,221923,188387,239812,267609,174764,174151,176329,168635,164919,156856
5.5,671881,564767,609807,592102,622981,630279,253974,259981,236980,264078,250615,249535,564200,568508,557613,593709,596923,597859,153069,153988,153846,153799,147115,146591,1199525,1137951,1118573,1145013,1133341,1156829,6883,6956,6893,7023,6957,6564,1315861,1158845,1195244,1177459,1147344,1154656,6978,7010,7166,7027,7027,6672,864678,792855,830940,791116,796767,777758,7065,7121,6996,7051,6924,6921,857985,850081,795121,784608,824472,776164,7053,7018,7190,7017,7029,6973,311701,166895,172030,235926,275434,303744,7191,7074,7240,7052,6888,6728,181474,224491,283957,248349,299489,343094,173307,172827,174192,166150,163292,154638
6,737447,628619,698677,669378,686873,702721,284774,303072,278042,305812,295221,288133,654835,624114,623178,656047,647998,661738,153914,152182,154708,156139,147045,151026,1292478,1242695,1202634,1217639,1221709,1252760,6941,7002,6944,7018,6832,6990,1471679,1282717,1280991,1250573,1276130,1274312,7093,7233,7105,6941,7024,7026,928280,891104,924275,874874,901076,861213,7170,6982,7135,6918,6980,6813,932640,906359,895978,857234,892724,885610,7178,7205,7041,6969,6916,6966,363895,186982,196936,265699,331343,350682,7080,7246,7025,7090,6953,6577,212609,252802,335954,315930,344938,396394,171756,172101,172568,165257,160935,151126
6.5,820480,701338,757273,747656,782975,777415,318261,343700,317221,349944,337521,326192,734891,683645,672659,701917,721902,735457,161344,152800,155102,161396,152312,152973,1396076,1355554,1289593,1268318,1339297,1357016,6845,6859,7205,7133,6837,6808,1582733,1392374,1498659,1400739,1431908,1432527,7113,7029,7024,7200,6816,6878,934182,981449,874070,841769,865613,880907,7054,7139,6945,7026,7093,6904,973281,934168,915883,919045,922286,967155,7071,7267,7230,7073,7137,6930,413533,208898,223609,286855,369415,396842,7180,7220,7221,7246,6937,6553,238271,281164,384011,365542,371852,447982,172733,171480,172385,163589,160600,149650
7,920086,807741,828898,796227,835379,861569,345926,373103,351103,378518,383550,348442,812760,778654,758314,757036,768009,797979,181549,166558,169341,184278,174414,166824,1568624,1575237,1433397,1461048,1442197,1526877,7035,7100,7061,7198,6984,6907,1685883,1526323,1583326,1457162,1518841,1473471,7024,7078,7187,7272,7110,6843,940136,928043,941401,902907,872885,930915,7038,7289,6934,7098,7130,6852,978853,1014067,952230,930677,936474,962689,7288,7135,7247,7015,7149,6817,446217,238021,246347,309725,409607,438286,7268,7168,7011,7104,7066,6858,266133,306023,430027,412018,396618,489993,170931,169452,170287,162834,158395,146292
7.5,980724,865573,874821,871251,910324,933536,363816,397198,380428,402349,425548,371536,883858,845628,805027,809757,833614,854257,192592,168776,171986,196399,185434,172168,1611069,1628432,1515323,1573893,1603521,1560206,6892,6871,7024,6918,6905,7061,1777940,1595195,1633531,1541223,1609291,1605958,7253,7159,7146,7139,7026,6977,1028900,990275,946367,1014620,981804,973637,7120,7122,7103,7076,7238,6943,985006,934643,983596,939939,961372,1043971,7100,7218,7234,7163,6834,6851,482853,262300,268070,331909,455834,480732,7339,7353,7130,6971,6978,6742,291861,327615,469389,447429,413770,518395,171114,169776,170143,161127,157614,144762
8,1038952,916042,902025,915106,954469,958342,382061,406854,390664,416906,447811,377951,901827,855812,863624,840293,889220,903474,203351,175203,174320,210620,194909,174589,1784250,1620937,1576370,1614929,1627049,1661208,7019,7153,7173,7150,6983,6879,1802680,1624678,1673025,1627273,1654121,1623769,7287,7184,7247,7121,7082,6819,987798,978867,1045736,981883,1026726,1021273,7139,7194,7124,7071,7174,6913,1028347,998996,1074244,1043180,1051519,1113528,7198,7419,7248,7219,7066,6992,510122,279755,294523,350840,493181,514641,7167,7252,7209,7170,6926,6811,307854,342132,497173,474409,425113,527261,170874,167339,168167,159997,157508,142760
8.5,1123289,991540,969685,1006703,1031548,1059898,386593,416932,402573,447126,465503,392139,991461,961701,965627,901024,956656,956643,224636,178830,180926,224123,211818,180360,1947076,1891404,1819608,1783078,1776754,1805130,6992,6995,7260,7240,6852,6864,1995107,1840739,1871170,1762237,1808938,1745915,7096,7052,7171,7085,7113,6745,1025607,997718,1047172,1061162,1065075,1076220,7268,7344,6999,7053,7303,7154,1056894,1023986,1103120,1096112,1077603,1123052,7190,7225,7084,7174,6989,7001,533268,296999,305615,361603,523573,545243,7185,7308,6956,7151,7050,6817,311740,350616,521109,493826,434795,539131,170069,166320,166479,159145,154745,138127
9,1171228,1051348,1004081,1048489,1091435,1107665,392495,425073,409581,457428,478440,399042,1048871,999536,983082,909191,983675,1014646,239839,183261,181331,236256,220856,183637,2000996,1873528,1827143,1733347,1781286,1744097,6853,6956,7322,7042,6975,6877,2109349,1905961,1886306,1824179,1841740,1803721,7256,7106,7107,7098,7207,6979,1071899,1018440,1102738,1113751,1114199,1111723,7095,7012,7198,7133,7085,6921,1081028,1036185,1132484,1120457,1108811,1166841,7285,7290,7140,7133,6881,7064,550157,305773,322754,371391,550065,565228,7209,7401,7366,7041,6782,6710,319552,358059,546271,506249,438603,537787,171531,165715,165860,157100,153872,135376
9.5,1221986,1130864,1076734,1130087,1157501,1176590,400728,429908,421424,463409,488043,408106,1119864,1080686,1074310,967537,1076760,1097864,254435,189086,190225,247558,235900,191361,2095029,2086164,2008070,2032600,2045352,2039423,7090,7193,7210,7269,7222,6904,2275403,2026382,2068524,1964360,2011113,1948670,7282,7226,7254,7338,7185,7196,1087655,1078907,1006294,1079829,1116650,1112777,7338,7317,7202,7394,7074,6839,1089328,1098958,885742,1057961,1113277,1172756,7291,7267,7367,7041,7070,7139,564648,315152,330803,381021,564002,587412,7222,7219,7246,7172,7060,6845,327470,366661,562171,512217,442146,535811,170432,165673,165259,156006,152243,133868
10,1272270,1166525,1097785,1185258,1198313,1221090,398700,431344,425640,462460,485685,414245,1161559,1116294,1116162,1014132,1109272,1129415,263327,192826,194917,255515,259705,197062,2272926,2095556,2035603,1956008,2005238,1986149,7225,7152,7326,7210,7020,7039,2269422,2044126,2005330,1973792,2061542,2042914,7408,7338,7023,7352,7177,7060,1119034,1095111,1089710,1128243,1140876,1161743,7412,7292,7216,7170,7139,7046,1080620,1069752,1107112,1135409,1126108,1134882,7391,7272,7409,7157,7205,7029,576517,322266,341645,390743,583183,594447,7301,7435,7222,7282,7116,6845,335031,389307,568534,517052,446204,526695,170559,165374,164599,155809,150843,130480
10.5,1302095,1203662,1112553,1203042,1231972,1261309,408527,433873,427128,461459,481364,417894,1217573,1154339,1145974,1036580,1152680,1171768,277081,200895,202541,268346,263156,207629,2311196,2192962,2157275,2100760,2112590,2009664,7212,7141,7254,7126,7077,6876,2363745,2146117,2201630,2019887,1973489,2071159,7027,7217,7133,7192,7018,7046,1135870,1128519,1079223,1118771,1161269,1170201,7158,7231,7127,7266,6952,6969,1098128,1035671,1000695,1019876,1108535,1173481,7353,7429,7400,7150,7018,7002,584356,332305,346796,393746,589652,607291,7342,7200,7183,7326,7253,6800,342751,399714,573369,518026,446283,518975,169258,163295,162185,154338,149437,127622
11,1338375,1236754,1140178,1253945,1277408,1282835,405497,436482,432319,464173,480521,425073,1241681,1175628,1143392,1047449,1157633,1181240,289214,211515,213557,282073,273208,213426,2350835,2163756,2054257,2069275,2078088,2105002,7116,7208,6953,7272,7031,6904,2354405,2140175,2133773,1997176,2066100,2052597,7209,7203,7232,7218,7124,6938,1148398,1134619,1116057,1129639,1188644,1193505,7368,7170,7226,7307,7278,6976,1105808,1082227,901458,918795,1122209,1198840,7118,7264,7387,7198,7182,6899,588440,334412,363579,405642,602272,614128,7288,7387,7248,7156,7128,6748,350695,403719,574502,541344,464713,509767,168662,162658,161345,152634,147712,124256
11.5,1368516,1262969,1144644,1275906,1299197,1311883,412914,445308,437878,465991,481153,430382,1281188,1178987,1189566,1070239,1189315,1187260,300240,217773,220197,290346,282350,221659,2371004,2158237,2130137,2145893,2104791,2129281,7172,7010,7072,7099,7008,6977,2330561,2157815,2172662,2059645,2074334,2106991,7362,7223,6978,7099,7232,7020,1135620,1146896,1171939,1197417,1196482,1191937,7190,7183,7043,7090,6972,7099,1097324,1059766,1172545,1177683,1161690,1212791,7238,7116,7132,6993,7095,6801,582749,344279,369533,421398,602061,617738,7085,7368,6954,7187,7044,6948,357137,408777,569917,537563,465556,508897,166603,159998,159459,149786,143687,119353
12,1394600,1306785,1161993,1310513,1334397,1347188,412967,452606,456664,480613,489242,440039,1320090,1229548,1232209,1111499,1227177,1245896,321739,230472,230736,306497,304034,234069,2378315,2228452,2303502,2187877,2198983,2135644,7174,7191,7352,7228,7204,7064,2372493,2176192,2316083,2124947,2157262,2176930,7500,7326,7018,7347,7269,6950,1129112,1128756,1146817,1198814,1211737,1214253,7347,7285,7359,7318,7141,7196,1113369,1097508,1179659,1156500,1165260,1178803,7204,7394,7336,7267,7216,7161,576610,343871,364382,430712,599466,612719,7252,6952,7223,7226,7140,7037,364158,416563,571037,534981,472538,509147,167443,160846,159356,149696,144070,117566
12.5,1437612,1330893,1211447,1362839,1361403,1394969,409173,447613,455096,471603,495170,445137,1390925,1250955,1234988,1132814,1251614,1265024,337060,236018,240853,323715,312333,241525,2477104,2247633,2169289,2117029,2111141,2157644,7376,7161,7211,7052,7271,7185,2446726,2227899,2247277,2132469,2161082,2198034,7395,7115,7189,7305,7198,6940,1134065,1122960,1155090,1192280,1200250,1224726,7303,7177,7210,7266,7260,7017,1126807,1122499,1203108,1212593,1199011,1220787,7139,7282,7275,7108,7045,7223,575740,350932,369586,419198,593669,597450,7242,7355,7299,7276,7116,6953,372853,424125,571656,536035,476042,511677,166619,159286,157266,147489,141191,113326
13,1449442,1364235,1235555,1403901,1407958,1432909,421161,460418,466965,481114,508476,452448,1398974,1297432,1295455,1190620,1322870,1322988,353422,244805,247875,337007,327391,249956,2501449,2281818,2287233,2316992,2189036,2356012,7344,7153,7288,7121,7205,7010,2524740,2289262,2325305,2371636,2208125,2316307,7309,7260,7225,7170,7194,7142,1127294,1136950,1172190,1216269,1214135,1231629,7355,7340,7214,7266,7078,7012,1121682,1109575,1228929,1223975,1214042,1205150,7283,7259,7212,7238,7237,7083,580667,366569,381916,429631,589006,595935,7295,7325,7507,7281,7156,6852,383405,429315,578691,540185,472314,516393,164796,156898,156035,147203,140306,109614
13.5,1466449,1403743,1288039,1456332,1455568,1474630,436245,474158,480244,493787,519436,461419,1469242,1377804,1337466,1233724,1350021,1377132,364685,249324,253632,347098,333714,257478,2719855,2513306,2402278,2418007,2434013,2414661,7293,7149,7241,7047,7218,6954,2666647,2501686,2482624,2339835,2385943,2443867,7391,7279,7353,7254,7087,6931,1155617,1142799,1171663,1206086,1232156,1246054,7297,7322,7312,7235,7268,6998,1136871,1116926,1234317,1202621,1206336,1221499,7273,7295,7520,7327,7067,7044,583684,380573,399095,446889,607568,615485,7197,7491,7247,7398,7056,7004,400320,444900,596120,546073,484842,520885,163959,154746,154276,144825,138100,105987
14,1477634,1453697,1315848,1489977,1480334,1485709,455465,486265,496870,506500,539631,494801,1468504,1410936,1391228,1283863,1371085,1421198,382694,258150,262405,360009,346242,264632,2746466,2593981,2530036,2433236,2480319,2449137,7222,7041,7372,7288,7116,7005,2548018,2637665,2595746,2322709,2510855,2542959,7460,7397,7376,7302,7301,7150,1136134,1133749,1177828,1241984,1237452,1246041,7243,7291,7220,7328,7392,7111,1144301,1121076,1245765,1254209,1235423,1235739,7196,7318,7434,7360,7169,7205,595790,393997,414521,463632,613417,619898,7389,7444,7246,7171,7110,6936,415391,468849,608437,551224,512731,526932,163495,154456,153198,143887,135489,102441
14.5,1463248,1457570,1315111,1482508,1472456,1487646,476108,501836,514549,523810,553819,521307,1472483,1417549,1394679,1270808,1369241,1430327,394023,268597,273247,371760,357308,271337,2664657,2548018,2535635,2390554,2488592,2395059,7266,7179,7208,7293,7021,6970,2487116,2555935,2598289,2282859,2479845,2528060,7424,7425,7228,7123,7321,7042,1161071,1139124,1204913,1259742,1268924,1274826,7149,7445,7373,7396,7054,7030,1145408,1113277,1278804,1299184,1241233,1252167,7320,7485,7462,7200,7056,6990,628000,413230,435876,489861,626103,631952,7232,7329,7074,7290,7070,6973,427326,486989,621110,572381,540514,537458,160975,152215,151353,141436,133925,98356
15,1465791,1479030,1309907,1477844,1473576,1482785,495803,525614,543241,547219,566901,529185,1473813,1399501,1392110,1272375,1362984,1403308,415878,276238,279676,387594,370166,280308,2619933,2402713,2347423,2259911,2307257,2287891,7303,7142,7201,7128,7115,6890,2426360,2415465,2407969,2221048,2319113,2373243,7233,7371,7385,7182,7174,7056,1163917,1156276,1207548,1262982,1274009,1287117,7230,7389,7165,7109,7090,6965,1161611,1133565,1287604,1299552,1259465,1271624,7417,7302,7401,7224,7210,7030,671723,429065,459272,520714,658655,646311,7327,7486,7179,7153,7077,6731,439301,500874,637459,596449,566598,550368,160004,150399,148847,139195,131349,93660
15.5,1446926,1475249,1302279,1476567,1468386,1483522,513811,541686,565135,567111,575477,541304,1441617,1398078,1397248,1280253,1369952,1407524,431186,282969,287962,398726,378886,290017,2519510,2365036,2319363,2252652,2291988,2273809,7129,7244,7180,7285,7039,6975,2359398,2377116,2386325,2218335,2303766,2344248,7236,7343,7222,7392,7112,7032,1156500,1156368,1209234,1285799,1296733,1295903,7409,7279,7253,7314,7196,6970,1160004,1134619,1300843,1327612,1275326,1288184,7410,7355,7407,7068,7218,6956,662278,449181,473249,535613,677915,660842,7403,7329,7504,7161,7199,6960,459773,509490,640330,616960,585884,567810,158570,149297,147421,137742,129836,90493
16,1431987,1479965,1306600,1475210,1462734,1482152,525456,557679,578836,582011,579982,546363,1433357,1408920,1404362,1295363,1371072,1412134,442318,294852,296709,411373,393219,299344,2472704,2369252,2334473,2268921,2305320,2281107,7185,7237,7339,7263,7167,6985,2325515,2376010,2380094,2217360,2307178,2349109,7508,7360,7252,7352,7181,7249,1154590,1157672,1227493,1297115,1308063,1316705,7457,7359,7366,7232,7340,7072,1152587,1179633,1326374,1349204,1296733,1305573,7222,7355,7369,7280,7360,7087,650751,458969,486252,546402,687387,661922,7380,7472,7208,7248,7231,6870,463896,520595,642214,635904,596370,580746,157731,148009,145591,137695,126620,86609
