Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lbgm50 308 1,lbgm50 308 2,lbgm50 308 3,lbgm50 308 4,lbgm50 308 5,lbgm50 308 6,lbgm50 311 1,lbgm50 311 2,lbgm50 311 3,lbgm50 311 4,lbgm50 311 5,lbgm50 311 6,tcm 308 1,tcm 308 2,tcm 308 3,tcm 308 4,tcm 308 5,tcm 308 6,tcm 311 1,tcm 311 2,tcm 311 3,tcm 311 4,tcm 311 5,tcm 311 6,tcmgm50 308 1,tcmgm50 308 2,tcmgm50 308 3,tcmgm50 308 4,tcmgm50 308 5,tcmgm50 308 6,tcmgm50 311 1,tcmgm50 311 2,tcmgm50 311 3,tcmgm50 311 4,tcmgm50 311 5,tcmgm50 311 6,empty,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,empty,empty,empty,empty,empty,empty,empty,lbgm50 309 2,lbgm50 309 3,lbgm50 309 4,lbgm50 309 5,lbgm50 309 6,empty,empty,empty,empty,empty,empty,empty,tcm 309 2,tcm 309 3,tcm 309 4,tcm 309 5,tcm 309 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,tcmgm50 309 2,tcmgm50 309 3,tcmgm50 309 4,tcmgm50 309 5,tcmgm50 309 6,tcm blank 1,tcm blank 2,tcm blank 3,tcm blank 4,tcm blank 5,tcm blank 6
10,9000043,9701622,10057500,9595025,9960156,10414859,10071010,10035662,10032701,9734378,9300032,9231373,8824602,9179370,9545057,9612976,9357217,10108208,9885205,9624080,9618158,9310026,9161974,8823862,9325571,9185292,9464739,9565414,10133006,10248301,10247191,10116721,9793043,9391639,9158458,9373873,9686261,9340746,9616677,10144110,10132821,10319551,10256259,9540801,10027890,9880949,9895014,10023633,4990627,10279577,10275506,10001611,9826170,9665534,10163912,10672283,10382843,10333246,10342499,10550881,5747539,10250337,10493141,10453723,10610102,10116165,9965338,11091454,10400609,10631384,10284019,10481297,7745678,10225723,10683757,10691900,10680426,10669693,10324548,10822185,10724101,10550141,10343054,10004757,8843849,9678488,10024744,9811365,10279577,10375255,10557173,10658033,10130785,10178532,9359808,9959231
10.5,9158088,9815251,10218876,9728456,10291236,10398573,10012529,10111354,9881874,10137078,9405704,9323720,8947670,9260058,9764173,9734008,9531177,10242564,9781939,9964783,9589288,9442902,9322240,8897517,9458077,9333159,9581700,9680154,9985325,10302895,10320291,10001611,9938134,9514522,9384051,9483246,9830241,9477879,9731972,10233681,10264587,10424853,10316405,9693109,10151513,10011419,9997354,10032516,5046146,10422262,10407827,10115795,10009939,9819507,10247931,10771108,10535521,10456313,10450206,10676170,5746059,10385249,10616209,10582157,10741127,10198704,10109133,11197311,10465197,10752231,10416525,10569018,7751785,10333801,10814043,10816448,10793130,10697822,10405236,10638417,10868822,10540888,10359340,10072120,8966546,9832462,10093402,9880209,10415784,10504615,10597703,10785728,10255334,10370814,9416067,9936838
11,9023361,9741225,10085815,9622784,9833942,10471119,10111169,10050097,9766209,9791193,9293555,9303919,8873829,9191214,9509525,9649063,9375353,10161691,9899825,9683115,9551720,9342597,9183257,8927128,9390714,9217679,9477509,9616307,9969409,10335281,10244230,9998835,9835423,9420694,9229338,9413106,9714946,9379980,9629817,10147996,10206662,10379142,10232941,9606869,10056390,9954974,9946276,10067864,4981373,10323252,10345830,10022523,9943871,9743076,10195188,10704300,10541628,10362116,10382473,10593261,5716448,10305486,10527378,10512758,10670618,10154844,10064162,11072392,10506096,10730764,10248671,10455203,7658142,10251262,10693566,10714848,10729838,10675615,10336577,10700598,10751676,10484258,10327324,10015120,8867722,9742706,10006052,9767504,10320846,10419486,10538482,10672468,10106172,10353788,9405334,9909079
11.5,9029283,9737894,10106357,9652394,9879098,10492031,10143370,10097659,9790637,9830426,9240441,9343707,8930089,9255987,9588177,9686816,9454376,10184269,9915001,9824504,9629446,9364435,9175669,8910102,9322795,9256727,9511746,9554681,10042325,10343794,10257184,10055279,9879468,9440681,9245253,9430687,9766764,9409220,9679229,10192782,10350827,10423927,10279392,9625745,10151143,9991247,10002166,10074711,5006357,10358229,10361005,10069529,10094143,9766764,10208327,10690050,10630459,10449651,10443914,10623241,5750685,10341389,10561615,10523492,10754822,10252743,10153548,10955432,10542924,10750195,10287905,10464086,7702373,10289015,10759634,10772403,10912127,10727433,10387840,10930078,10766666,10608991,10394872,10143555,8898998,9777498,10037143,9718647,10445025,10396168,10430034,10650076,10189451,10493141,9603352,9859296
12,9175299,9831537,10282538,9843011,10034367,10394317,10205181,10192597,10191487,9920367,9434019,9511005,9093500,9480655,9623709,9877988,9519148,10207402,10058795,9744556,9941465,9538950,9385902,9158273,9455301,9422175,9601502,9658872,10022708,10331395,10352677,10064903,9997539,9594469,9555421,9516742,9924624,9573557,9855410,10198519,10304376,10476115,10466677,9716242,10288275,10065458,10023633,10219431,5043370,10475560,10438732,10189636,10117276,9850413,10331580,10858273,10601959,10481667,10507206,10691160,5772523,10361746,10659329,10586784,10737426,10217396,10127084,11259122,10473339,10760374,10423742,10610287,7810080,10457424,10888623,10842913,10744829,10601959,10426888,10740757,10876594,10567722,10446505,10070269,9030949,9819878,10334911,10105802,10398758,10588634,10720215,10811082,10339168,10400054,9542466,10062682
12.5,9256727,9952754,10415599,9897975,10223133,10570868,10349716,10267363,10335652,10182603,9445678,9470291,9162900,9592434,9711800,10035848,9655170,10361561,10191672,9861887,10078227,9613901,9451785,9197877,9563008,9513411,9719573,9766764,10107652,10495362,10479817,10143740,10128935,9703287,9508600,9623709,10043435,9732712,9944056,10394502,10475560,10599183,10516829,9841345,10330655,10183899,10155769,10350087,5095188,10555138,10559394,10320846,10134487,9996059,10466122,10948584,10745384,10594371,10624537,10830328,5864870,10457424,10781656,10815153,10789799,10361746,10252558,11372937,10645449,10866046,10477226,10672098,7935369,10578271,10973198,10953581,10885477,10826257,10539222,10814043,11015948,10670618,10537372,10191487,9158458,9920738,10477226,10157620,10539962,10683017,10742608,10947844,10353973,10539037,9682560,10041955
13,8966176,9612976,10075081,9682560,10039734,10025484,10138373,10037328,9925919,9724014,9275789,9224711,8909732,9238221,9467145,9668865,9381275,10118571,9893903,9789527,9631852,9332974,9142913,8927313,9311691,9243217,9458817,9513596,9922033,10217025,10214620,10090256,9838939,9393675,9153461,9359993,9744371,9393490,9656281,10103026,10146516,10331025,10264772,9585401,10040659,9922773,9947942,10044360,4954539,10291976,10288275,10011789,9930176,9718462,10195003,10645449,10430590,10353973,10362671,10532560,5693871,10261441,10510352,10472969,10665251,10107652,10015305,11045928,10434291,10713923,10219616,10427628,7681645,10268103,10714663,10698933,10667287,10615469,10332505,10794796,10736501,10583823,10288275,9997539,8836631,9687742,10020857,9845972,10308262,10410232,10507391,10618245,10088776,10317700,9449934,9891127
13.5,9243032,9745482,10365817,9896864,10466122,10594371,9824874,10011789,10323993,10078782,9520259,9516372,9155682,9514522,9700141,9923143,9627411,10387840,10165022,9874657,10008458,9635369,9444567,9235445,9541541,9494350,9700326,9740855,10045841,10452427,10423372,10109873,10078967,9661833,9608164,9622599,10009383,9746777,10000500,10214990,10274951,10559024,10545514,9860222,10324178,10137263,10099880,10307152,5044295,10521456,10514794,10368038,10002536,9936098,10478891,10705225,10559394,10613063,10569573,10719290,5792695,10426148,10823111,10799793,10818484,10301415,10213879,11332593,10561985,10873448,10521086,10648780,7836359,10517200,10948214,10925636,10883997,10751491,10493696,10883627,10965795,10640452,10509982,10124863,9099423,9844121,10395983,10199999,10462421,10669137,10811452,10906945,10468713,10336947,9494905,10149107
14,9165676,9708284,10246821,9840790,10277541,10512758,10304746,10019932,10206662,9912780,9430132,9391639,9057783,9426431,9595025,9893348,9572447,10160396,10088406,9730121,9903897,9516927,9401077,9011332,9425321,9377574,9554310,9705323,9890387,10272730,10335467,10012159,9935358,9586141,9549314,9507119,9921108,9707914,10046396,10111354,10142815,10551622,10556063,9845601,10321031,10072675,10017711,10191487,5055399,10445025,10496287,10416340,9939614,9850228,10395612,10764075,10550141,10560875,10513128,10665066,5821380,10356749,10652667,10567537,10684868,10242009,10137633,11295025,10565131,10822185,10436141,10610472,7791389,10514239,10836435,10798867,10683202,10575310,10416340,10765186,10947104,10601034,10467787,10077117,9084617,9801001,10325843,10136152,10373590,10619170,10759449,10855682,10353048,10369518,9514522,9968299
14.5,8997082,9604278,10105432,9719573,10140409,10170944,10224058,10065458,10083964,9850968,9271532,9301698,8906401,9294110,9461223,9755660,9446973,10124123,9958491,9608719,9715316,9403298,9196026,8945634,9270792,9247289,9461223,9491018,9705693,10227944,10203331,9872066,9870955,9441236,9299292,9372022,9782495,9528216,9805257,10058240,10036958,10405236,10421151,9691443,10155769,9921848,9876137,10077487,4976562,10315850,10329915,10108578,9817102,9720313,10233126,10684683,10491291,10441138,10392096,10588079,5726627,10240899,10541628,10490735,10472044,10093217,10004942,11120324,10413008,10587339,10368408,10483333,7682941,10384694,10705040,10693011,10494252,10475005,10329359,10561060,10824961,10512018,10368963,10017341,8915284,9686261,10195373,9956640,10260515,10460200,10588264,10762225,10200370,10339353,9374798,9884280
